concentration,filename,frame,pressure_MPa,H1_idx,H2_idx,H3_idx,H1_dB,H2_dB,H3_dB,U1_idx,U2_idx,U3_idx,U1_dB,U2_dB,U3_dB,target_bb_std,ambient_bb_std,harmonic_threshold_dB,U1_threshold_dB,U2_threshold_dB,U3_threshold_dB,exceeds_H1,exceeds_H2,exceeds_H3,exceeds_U1,exceeds_U2,exceeds_U3,safety_1s,safety_2s,safety_3s
1000x_01,PCI_1000x_01.pacq,1,0.025,12584,14681,16778,-56.4759342701009,-48.1099700010815,-54.8433429734559,14617,15422,18796,-52.6768458863298,-52.3617848658179,-50.6708123033881,0.459064489089503,0.466824353655995,-53.9883295258759,-54.2218417220859,-50.6375024680176,-48.3572425379499,0,1,0,1,0,0,0,0,0
1000x_01,PCI_1000x_01.pacq,2,0.03,12584,14681,16778,-50.3894833451125,-43.1292782491543,-48.7765759788536,14617,14878,18811,-50.5422257456378,-47.612051532778,-41.7706769298355,0.471417595095943,0.466623723656515,-53.9753045234719,-54.2236501123949,-50.3600334718426,-49.3149912174704,1,1,1,1,1,1,0,0,0
1000x_01,PCI_1000x_01.pacq,3,0.035,12584,14681,16778,-45.1621645135028,-42.908258176606,-40.1433303203731,12781,14878,18811,-49.7071917003511,-47.4357528619931,-34.0749779371968,0.482099219330526,0.472431658827809,-53.9691717091287,-53.7220745565634,-50.9517760713699,-48.5962217732592,1,1,1,1,1,1,0,0,0
1000x_01,PCI_1000x_01.pacq,4,0.04,12584,14681,16778,-47.8142047820913,-40.9652765859529,-33.9110447917504,12780,14878,18811,-37.6353545293107,-39.7042717352448,-34.1805824355899,0.509729557885716,0.485744391301445,-53.944192458876,-53.2469996145398,-50.0074715107837,-48.6693442511105,1,1,1,1,1,1,0,0,0
1000x_01,PCI_1000x_01.pacq,5,0.045,12584,14681,16778,-34.5414828882439,-23.5039576085994,-19.868030384824,12780,14877,16842,-29.5193585520825,-25.4901074485212,-26.1397957061233,0.97012587066734,0.465281767395619,-53.9774620118647,-53.0071487680922,-50.1840865757163,-48.1756668206538,1,1,1,1,1,1,1,0,0
1000x_01,PCI_1000x_01.pacq,6,0.05,12584,14681,16778,-36.3001816282204,-28.4449631526705,-21.1590012314976,12773,14870,18811,-25.2801372727893,-23.004474117944,-20.9574160204511,1.30417254281364,0.474018350843289,-53.9380988900729,-53.6274229570285,-50.642513392505,-47.5078037648756,1,1,1,1,1,1,1,0,0
1000x_01,PCI_1000x_01.pacq,7,0.055,12584,14681,16778,-39.9863220699472,-32.3902055885377,-21.8711480324689,12778,14875,18808,-27.1451479981328,-25.6369210143276,-23.2216108969919,2.53130378058482,0.480278100677452,-53.9163233305624,-53.1436285640195,-49.7130483895907,-46.1460400444399,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,8,0.06,12584,14681,16778,-34.7838088937782,-30.3539288879926,-22.7587686593113,12726,16724,18821,-26.356039464688,-22.0248451990448,-18.9488091200106,3.36765701340643,0.473549943818784,-53.8795914292759,-51.6133987249039,-49.2074009255693,-47.1725706284844,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,9,0.065,12584,14681,16778,-37.6940200896805,-28.0783253249068,-23.7576969629262,12708,16718,18815,-23.5444646579442,-18.7517001841408,-14.7544310675045,5.10453553415375,0.470305588340059,-53.8330547011442,-48.8388657665188,-44.8586163382864,-44.1792303798068,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,10,0.07,12584,14681,16778,-34.2618122225445,-31.0071651611114,-24.7837713450369,14605,16703,18820,-23.1729355977346,-16.9466536521694,-16.7183077807343,7.06679613865165,0.485041052096939,-53.869375382499,-43.9189697105974,-47.1664278663958,-41.4371394988691,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,11,0.075,12584,14681,16778,-31.0901212995868,-29.1157663001912,-21.8102373767383,12702,16699,18796,-19.5608745274959,-14.0649143988089,-11.9281568942084,12.0342430186824,0.488338569620121,-53.8534278557025,-41.9309078971906,-45.7038954499367,-44.9138043436155,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,12,0.08,12584,14681,16778,-31.9735849985773,-28.3454887708973,-23.7776426899157,14573,16670,18714,-25.9255598986019,-20.4242922985574,-15.6145153839376,13.6588890949597,0.481666646114749,-53.790962359901,-41.151423171926,-45.8726177925698,-40.3024151234931,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,13,0.085,12584,14681,16778,-34.5905946784231,-30.4381700775368,-25.6298133950027,14613,16710,18723,-25.0192045023823,-20.8764753678149,-17.6822761715011,16.1822871105674,0.476170191370291,-53.7516330424052,-39.3371779913198,-41.4685583535544,-40.153741477451,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,14,0.09,12584,14681,16778,-33.7244345244283,-29.6190009936243,-23.5637534902263,12780,16721,18691,-26.93648528582,-24.3371705578283,-20.8335432440983,16.8604746882827,0.483775269607486,-53.6234278472822,-38.1180725317996,-38.2712544745791,-38.1646407680008,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,15,0.095,12584,14681,16778,-37.0247398598466,-32.9342169373148,-29.7674260130258,12721,16648,18808,-24.0247907153766,-22.2549856691671,-17.3502007525141,18.4506186845153,0.489339293836667,-53.6293451916236,-36.8197345780857,-35.5535750521584,-35.6738214289206,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,16,0.1,12584,14681,16778,-37.6780138211443,-30.7264579257678,-21.7163891691731,12736,16498,18742,-26.269885105739,-21.9863956046187,-19.8385352380136,23.7506456720413,0.496292359263224,-53.5629526189086,-35.4703741112511,-35.2596619913373,-35.4317197840598,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,17,0.105,12584,14681,16778,-40.5892969543591,-33.3551274430455,-23.9255502252494,12665,16700,18812,-27.9672876674421,-25.9988105363137,-20.1057440765517,20.1779298288741,0.536816597793163,-53.4614627428405,-33.9681800802946,-32.2599926480434,-32.3356325528671,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,18,0.11,12584,14681,16778,-27.1761621532507,-26.495276993104,-26.2184399115407,14004,16640,18738,-26.3168990265532,-21.2256440102915,-19.7921031158965,22.9286747240494,0.546238501971437,-53.4365278297605,-32.4322360195811,-33.0887370031107,-33.2160130448232,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,19,0.115,12584,14681,16778,-40.9521980751285,-32.6729858219142,-29.8987620605194,13976,16675,18794,-26.0063938465267,-24.4290668240924,-19.5096450768951,26.6978350679351,0.561666192826163,-53.3771470985508,-32.234221999939,-34.1897054847402,-33.9587619714926,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,20,0.12,12584,14681,16778,-36.3058906295132,-25.4547368956545,-25.7381510130399,13625,15722,18824,-22.8413322384431,-22.4451018489432,-19.7525823676349,30.0811720233753,0.59107956143872,-53.2707564947119,-32.6015986999598,-33.1271731838607,-29.2599953515676,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,21,0.125,12584,14681,16778,-37.6000103134123,-22.8261580459435,-20.398675065557,14438,16625,18707,-22.0538708725478,-19.8143412132697,-17.1333584100801,31.1321399466666,0.600999667339777,-53.2609320934293,-31.8762468143978,-34.9148964197528,-26.0697893957785,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,22,0.13,12584,14681,16778,-27.3508792679156,-21.0843436721219,-19.3233596988595,13222,16570,18301,-18.3100831670436,-16.4777956060946,-13.6625059560372,38.3970161612712,0.675673681219014,-52.9135115171115,-29.2937086368692,-32.4646251419362,-24.0073676222965,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,23,0.135,12584,14681,16778,-22.8428601319186,-18.5146458826399,-17.462551053861,14616,16337,17997,-16.214787928663,-14.5120630631622,-11.7842869495143,43.2967442080095,0.661811348616496,-53.056225265536,-28.0413474456783,-33.0631469502553,-22.44602478726,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,24,0.14,12584,14681,16778,-19.5070668288055,-18.6497643644207,-17.6353744588094,14248,16067,18825,-16.685499608975,-14.1892038989944,-11.2684431211723,48.2339290066168,0.73615896189544,-52.9577831430724,-28.6148221387475,-30.8858891641089,-22.1121417202197,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,25,0.145,12584,14681,16778,-18.5881944105068,-15.0706528954969,-13.0878010848973,14526,16302,18552,-13.7085208813442,-11.732118552699,-9.49263472085503,58.9295811491024,0.75307115990572,-52.7504275567875,-25.9233807639402,-28.9859796942934,-21.1375205048809,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,26,0.15,12584,14681,16778,-17.9802711117675,-15.4356245648855,-13.4175061321729,14175,16489,18587,-12.9452110308274,-10.3127744830366,-8.42594960902825,62.0019916193769,0.781896132865829,-52.5921584629752,-24.6617395594979,-27.8926410725342,-20.8715442701799,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,27,0.155,12584,14681,16778,-18.3301073887874,-13.6383105601062,-11.6927428016147,13365,16717,18364,-12.8234061295041,-9.90756683845823,-7.20190960608985,68.7088842821451,0.836263251524327,-52.3876859610292,-23.3877150567548,-26.9414274213098,-19.5250094141728,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,28,0.16,12584,14681,16778,-15.772518456766,-15.0457706528378,-12.6441460909736,14062,16664,18642,-11.7244305547844,-8.80915235078563,-7.21526262967027,74.597911558726,0.939150347530212,-52.357284334588,-22.5750637230035,-27.9093449959311,-21.2291160031417,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,29,0.165,12584,14681,16778,-19.8158521987476,-12.7414002384368,-11.2244824417238,14285,16219,18159,-10.4988882012683,-7.63619366125868,-6.59537246953053,78.431377402821,0.96728555655438,-52.0626012172031,-22.9336830423437,-26.3131045342869,-20.1079253842266,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,30,0.17,12584,14681,16778,-14.6575648594971,-16.1380119621083,-13.7670708043377,14422,16460,18180,-10.9776741089619,-7.88107454232196,-6.28375798213209,82.2363874317058,1.00960132190753,-52.0373707586178,-22.2434142418876,-26.9044803408376,-20.7222786228664,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,31,0.175,12584,14681,16778,-17.7788645629852,-13.6426883578933,-13.1720586048366,13920,16141,18609,-9.64429982802514,-8.30470027446482,-5.92500666404862,81.6396217766889,1.1184826954886,-51.9394180120308,-22.4721366449541,-25.3979093724033,-20.9244847599353,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,32,0.18,12584,14681,16778,-17.6691686786796,-16.4764061035309,-14.2743121383315,14608,16268,18792,-9.96330080701597,-7.67913846177693,-5.81006447240948,84.4702479823994,1.19513649086624,-51.6930576443785,-21.8757310395086,-24.4797391366621,-18.024877342886,1,1,1,1,1,1,1,1,1
1000x_02,PCI_1000x_02.pacq,1,0.025,12584,14681,16778,-61.2917527277877,-55.4642517108296,-52.9837841841894,14415,16723,18747,-55.4941384021366,-52.1289438127167,-50.0839007694464,0.468683885351936,0.466824353655995,-53.9883295258759,-54.2218417220859,-50.6375024680176,-48.3572425379499,0,0,1,0,0,0,0,0,0
1000x_02,PCI_1000x_02.pacq,2,0.03,12584,14681,16778,-64.1382723393174,-52.0478510948316,-52.0993200557295,12780,16571,18811,-53.8295871358711,-52.6282270718198,-49.3386252777818,0.473585284643112,0.466623723656515,-53.9753045234719,-54.2236501123949,-50.3600334718426,-49.3149912174704,0,1,1,1,0,0,0,0,0
1000x_02,PCI_1000x_02.pacq,3,0.035,12584,14681,16778,-50.7671963208318,-42.6520037147364,-44.5763161141292,14617,14878,18811,-49.6632642727486,-47.5639382455228,-46.9798899917239,0.4810380381553,0.472431658827809,-53.9691717091287,-53.7220745565634,-50.9517760713699,-48.5962217732592,1,1,1,1,1,1,0,0,0
1000x_02,PCI_1000x_02.pacq,4,0.04,12584,14681,16778,-48.3258051090429,-47.200498374684,-46.2270228789187,12977,14878,16975,-52.6177221301181,-48.7807954408693,-46.0444817974786,0.482623363958696,0.485744391301445,-53.944192458876,-53.2469996145398,-50.0074715107837,-48.6693442511105,1,1,1,1,1,1,0,0,0
1000x_02,PCI_1000x_02.pacq,5,0.045,12584,14681,16778,-44.6946176648167,-36.3639420415592,-30.7436458016751,12780,16714,18811,-37.8448879493942,-37.2014500866856,-34.690638828992,0.504438521074959,0.465281767395619,-53.9774620118647,-53.0071487680922,-50.1840865757163,-48.1756668206538,1,1,1,1,1,1,0,0,0
1000x_02,PCI_1000x_02.pacq,6,0.05,12584,14681,16778,-52.4808961459982,-38.601043806297,-31.2381027023416,12779,14876,18811,-36.9687976290498,-33.6072916390242,-33.1355323148377,0.539898830955923,0.474018350843289,-53.9380988900729,-53.6274229570285,-50.642513392505,-47.5078037648756,1,1,1,1,1,1,0,0,0
1000x_02,PCI_1000x_02.pacq,7,0.055,12584,14681,16778,-41.5742959335652,-30.0466612777022,-29.7557151679129,12779,14876,18810,-31.2918295812378,-31.6045846235215,-28.7870489200438,1.00517171561661,0.480278100677452,-53.9163233305624,-53.1436285640195,-49.7130483895907,-46.1460400444399,1,1,1,1,1,1,1,0,0
1000x_02,PCI_1000x_02.pacq,8,0.06,12584,14681,16778,-46.6539933278167,-32.8397927204542,-29.2217919477436,12769,14865,18800,-30.3456950308903,-30.6392625317871,-27.8145650233218,1.91890940966795,0.473549943818784,-53.8795914292759,-51.6133987249039,-49.2074009255693,-47.1725706284844,1,1,1,1,1,1,1,1,1
1000x_02,PCI_1000x_02.pacq,9,0.065,12584,14681,16778,-41.3521070679257,-34.8662924405613,-32.0495061857013,12899,16710,18801,-32.4308555433623,-27.4948881473365,-23.065072296358,2.4871383682083,0.470305588340059,-53.8330547011442,-48.8388657665188,-44.8586163382864,-44.1792303798068,1,1,1,1,1,1,1,1,1
1000x_02,PCI_1000x_02.pacq,10,0.07,12584,14681,16778,-38.2411426135808,-32.1071100248383,-29.4355946501,12662,16705,18757,-26.368745811934,-22.9853308188319,-18.8980356696357,5.34406446427966,0.485041052096939,-53.869375382499,-43.9189697105974,-47.1664278663958,-41.4371394988691,1,1,1,1,1,1,1,1,1
1000x_02,PCI_1000x_02.pacq,11,0.075,12584,14681,16778,-38.3993592287501,-36.6321949198886,-25.3835822193782,12675,14772,18759,-24.6989294662613,-23.3756588116315,-20.6582623333168,8.11928911575889,0.488338569620121,-53.8534278557025,-41.9309078971906,-45.7038954499367,-44.9138043436155,1,1,1,1,1,1,1,1,1
1000x_02,PCI_1000x_02.pacq,12,0.08,12584,14681,16778,-44.2199159181764,-31.846855392808,-30.9505268527588,12657,16697,18774,-27.9856783580724,-22.5074049809791,-18.8371641200936,10.1386998089251,0.481666646114749,-53.790962359901,-41.151423171926,-45.8726177925698,-40.3024151234931,1,1,1,1,1,1,1,1,1
1000x_02,PCI_1000x_02.pacq,13,0.085,12584,14681,16778,-40.1638331500064,-32.1666759653691,-28.8393943572896,14598,16715,18793,-26.102641808455,-20.5446635580125,-16.7084607558224,11.4766235009871,0.476170191370291,-53.7516330424052,-39.3371779913198,-41.4685583535544,-40.153741477451,1,1,1,1,1,1,1,1,1
1000x_02,PCI_1000x_02.pacq,14,0.09,12584,14681,16778,-39.3471963349735,-33.8748961691011,-24.4691371691539,12707,16642,18739,-28.0556222814527,-23.7486609357671,-20.7853855228648,10.7208726379049,0.483775269607486,-53.6234278472822,-38.1180725317996,-38.2712544745791,-38.1646407680008,1,1,1,1,1,1,1,1,1
1000x_02,PCI_1000x_02.pacq,15,0.095,12584,14681,16778,-41.7948399035788,-35.9592906975705,-26.3251064521462,12891,16696,18800,-28.3985579677326,-23.6496502495261,-22.1774189485429,15.8742969077563,0.489339293836667,-53.6293451916236,-36.8197345780857,-35.5535750521584,-35.6738214289206,1,1,1,1,1,1,1,1,1
1000x_02,PCI_1000x_02.pacq,16,0.1,12584,14681,16778,-34.5167311428998,-34.6862386159711,-29.4692159838611,14547,16645,18757,-29.9478905166768,-25.7608654158701,-23.8348054834475,17.8148076816631,0.496292359263224,-53.5629526189086,-35.4703741112511,-35.2596619913373,-35.4317197840598,1,1,1,1,1,1,1,1,1
1000x_02,PCI_1000x_02.pacq,17,0.105,12584,14681,16778,-40.5312084164615,-29.8776509850199,-30.490665372798,14624,16558,18677,-28.0154463054545,-24.5842405442903,-23.6629715713551,17.4719846345389,0.536816597793163,-53.4614627428405,-33.9681800802946,-32.2599926480434,-32.3356325528671,1,1,1,1,1,1,1,1,1
1000x_02,PCI_1000x_02.pacq,18,0.11,12584,14681,16778,-37.9969282536202,-35.8550267759621,-29.4661422373203,12780,16480,18672,-31.7214891019277,-28.9104288142437,-25.6080549710396,19.66044898079,0.546238501971437,-53.4365278297605,-32.4322360195811,-33.0887370031107,-33.2160130448232,1,1,1,1,1,1,1,1,1
1000x_02,PCI_1000x_02.pacq,19,0.115,12584,14681,16778,-36.7260420033332,-32.2779479548623,-23.4669854485481,14346,16421,17916,-26.2161440814497,-24.2105365850402,-20.7239580275935,26.5365737272479,0.561666192826163,-53.3771470985508,-32.234221999939,-34.1897054847402,-33.9587619714926,1,1,1,1,1,1,1,1,1
1000x_02,PCI_1000x_02.pacq,20,0.12,12584,14681,16778,-44.716682632419,-31.8944474997793,-22.9504342691723,13879,15986,18079,-27.0637236869127,-23.455637941113,-21.6511854123722,25.981211741771,0.59107956143872,-53.2707564947119,-32.6015986999598,-33.1271731838607,-29.2599953515676,1,1,1,1,1,1,1,1,1
1000x_02,PCI_1000x_02.pacq,21,0.125,12584,14681,16778,-29.2686596586829,-33.2003518945964,-21.5346632932054,14129,15674,18617,-22.6820273170661,-20.4136255976648,-18.718685655548,26.1458146952289,0.600999667339777,-53.2609320934293,-31.8762468143978,-34.9148964197528,-26.0697893957785,1,1,1,1,1,1,1,1,1
1000x_02,PCI_1000x_02.pacq,22,0.13,12584,14681,16778,-36.6885010352746,-24.8275122418173,-21.3243902667266,14508,16725,16845,-20.7803234483965,-19.1536155171393,-15.8492790179922,29.8314615331684,0.675673681219014,-52.9135115171115,-29.2937086368692,-32.4646251419362,-24.0073676222965,1,1,1,1,1,1,1,1,1
1000x_02,PCI_1000x_02.pacq,23,0.135,12584,14681,16778,-17.8641698187573,-17.1299469814293,-15.8381609605658,13595,16638,18540,-16.9493224928288,-14.4249461078892,-12.5456617179293,42.1969391836541,0.661811348616496,-53.056225265536,-28.0413474456783,-33.0631469502553,-22.44602478726,1,1,1,1,1,1,1,1,1
1000x_02,PCI_1000x_02.pacq,24,0.14,12584,14681,16778,-19.2098304298749,-16.526274468678,-13.9518368038476,12846,14943,18764,-16.4561043819782,-13.5271185713409,-10.9986212373268,50.1543080424659,0.73615896189544,-52.9577831430724,-28.6148221387475,-30.8858891641089,-22.1121417202197,1,1,1,1,1,1,1,1,1
1000x_02,PCI_1000x_02.pacq,25,0.145,12584,14681,16778,-22.0855245690968,-21.3885645824524,-17.6643068005922,13279,16445,18594,-17.2263513828381,-13.9744633686109,-10.5814912637481,42.7606319706822,0.75307115990572,-52.7504275567875,-25.9233807639402,-28.9859796942934,-21.1375205048809,1,1,1,1,1,1,1,1,1
1000x_02,PCI_1000x_02.pacq,26,0.15,12584,14681,16778,-19.0557024099028,-15.2524560255607,-14.7663568316151,13622,16504,16928,-13.658175620469,-10.8408401223653,-9.71819425205398,60.033228507169,0.781896132865829,-52.5921584629752,-24.6617395594979,-27.8926410725342,-20.8715442701799,1,1,1,1,1,1,1,1,1
1000x_02,PCI_1000x_02.pacq,27,0.155,12584,14681,16778,-17.0863947806373,-17.5713908486124,-19.1980782203846,14632,16729,18826,-14.0903378426852,-11.2645012136852,-9.81040789659003,54.1688429467711,0.836263251524327,-52.3876859610292,-23.3877150567548,-26.9414274213098,-19.5250094141728,1,1,1,1,1,1,1,1,1
1000x_02,PCI_1000x_02.pacq,28,0.16,12584,14681,16778,-20.0320752749173,-13.2408972383166,-15.48327985914,14557,16469,18510,-12.9582199118271,-10.3204910254685,-8.11630486205945,69.3759333104666,0.939150347530212,-52.357284334588,-22.5750637230035,-27.9093449959311,-21.2291160031417,1,1,1,1,1,1,1,1,1
1000x_02,PCI_1000x_02.pacq,29,0.165,12584,14681,16778,-17.1467211520735,-13.6026131717739,-14.3616642062888,12925,15439,18007,-12.7627431379075,-10.0995231110954,-7.62575818384858,65.7235213771627,0.96728555655438,-52.0626012172031,-22.9336830423437,-26.3131045342869,-20.1079253842266,1,1,1,1,1,1,1,1,1
1000x_02,PCI_1000x_02.pacq,30,0.17,12584,14681,16778,-16.76005505359,-15.5099031779509,-14.5249948657282,14437,16534,18733,-10.7311578482833,-8.59187951869515,-7.01496015295186,76.6804609954898,1.00960132190753,-52.0373707586178,-22.2434142418876,-26.9044803408376,-20.7222786228664,1,1,1,1,1,1,1,1,1
1000x_02,PCI_1000x_02.pacq,31,0.175,12584,14681,16778,-14.8712019091393,-13.4045353371729,-12.5433656246507,13478,16648,18692,-10.7520614617737,-8.20456952269669,-6.92835487347253,76.6489684339802,1.1184826954886,-51.9394180120308,-22.4721366449541,-25.3979093724033,-20.9244847599353,1,1,1,1,1,1,1,1,1
